-=== SIMULATION SUMMARY ===-
Game Name;test1
Spins;100000000
Total Bet;20000000000.0000
Total Win;19338923200.0000
RTP %;96.694616
Hit Rate %;18.176388
Hit Frequency;1 : 5.5016
Max Win;440000.0000
Max Win X;2200.0000

-=== REEL STRIP WEIGHTS & DISTRIBUTION ===-
Symbol;Reel 1 Count;Reel 1 % (Len: 91);Reel 2 Count;Reel 2 % (Len: 59);Reel 3 Count;Reel 3 % (Len: 95);Reel 4 Count;Reel 4 % (Len: 58);Reel 5 Count;Reel 5 % (Len: 46);Total Count;Avg %
7;6;6.5934 %;4;6.7797 %;6;6.3158 %;5;8.6207 %;6;13.0435 %;27;7.7364 %
C;23;25.2747 %;8;13.5593 %;28;29.4737 %;16;27.5862 %;11;23.9130 %;86;24.6418 %
L;12;13.1868 %;7;11.8644 %;2;2.1053 %;5;8.6207 %;2;4.3478 %;28;8.0229 %
O;9;9.8901 %;12;20.3390 %;7;7.3684 %;4;6.8966 %;13;28.2609 %;45;12.8940 %
S;9;9.8901 %;10;16.9492 %;18;18.9474 %;9;15.5172 %;2;4.3478 %;48;13.7536 %
SCATTER;3;3.2967 %;3;5.0847 %;4;4.2105 %;2;3.4483 %;2;4.3478 %;14;4.0115 %
V;8;8.7912 %;8;13.5593 %;21;22.1053 %;7;12.0690 %;4;8.6957 %;48;13.7536 %
W;21;23.0769 %;7;11.8644 %;9;9.4737 %;10;17.2414 %;6;13.0435 %;53;15.1862 %
TOTAL LENGTH;91;100.0000 %;59;100.0000 %;95;100.0000 %;58;100.0000 %;46;100.0000 %;349;100.0000 %

-=== REEL STRIP ORDER (SEQUENCE) ===-
Position;Reel 1;Reel 2;Reel 3;Reel 4;Reel 5
1;W;7;W;W;L
2;W;O;W;O;L
3;W;O;SCATTER;L;O
4;W;O;L;C;O
5;C;L;C;C;7
6;C;O;V;C;O
7;C;7;7;W;SCATTER
8;C;W;S;S;7
9;7;W;7;W;C
10;W;W;7;S;C
11;V;SCATTER;7;W;C
12;L;O;SCATTER;S;C
13;L;L;7;SCATTER;O
14;O;L;S;C;O
15;S;O;W;W;C
16;S;O;S;O;C
17;S;O;O;L;SCATTER
18;C;C;S;L;O
19;C;7;C;S;7
20;C;V;C;C;7
21;S;S;7;V;W
22;W;C;SCATTER;7;O
23;W;S;L;7;O
24;O;7;C;7;W
25;W;L;V;SCATTER;W
26;W;V;V;L;7
27;V;V;S;L;O
28;W;L;S;S;W
29;C;O;SCATTER;7;O
30;L;SCATTER;V;V;O
31;O;V;S;S;V
32;W;C;O;O;S
33;C;O;V;V;O
34;C;L;C;C;V
35;O;V;W;W;C
36;W;C;C;C;W
37;L;V;C;C;C
38;C;W;C;C;C
39;C;S;V;V;C
40;C;C;S;S;V
41;L;C;V;C;S
42;L;C;S;C;W
43;C;S;O;C;V
44;C;O;V;W;O
45;SCATTER;W;C;W;7
46;O;W;W;W;C
47;S;S;C;V;
48;V;S;C;S;
49;V;S;C;O;
50;W;C;V;V;
51;C;S;S;C;
52;C;SCATTER;V;W;
53;L;W;S;C;
54;L;S;O;C;
55;L;L;V;C;
56;7;S;C;V;
57;C;V;W;S;
58;C;O;C;7;
59;SCATTER;V;C;;
60;S;;C;;
61;C;;V;;
62;L;;S;;
63;SCATTER;;V;;
64;V;;S;;
65;C;;O;;
66;W;;V;;
67;W;;C;;
68;L;;W;;
69;L;;C;;
70;O;;C;;
71;S;;C;;
72;C;;V;;
73;7;;S;;
74;7;;V;;
75;7;;S;;
76;V;;O;;
77;S;;V;;
78;W;;C;;
79;V;;W;;
80;O;;C;;
81;7;;C;;
82;O;;C;;
83;W;;V;;
84;V;;S;;
85;C;;V;;
86;W;;S;;
87;W;;O;;
88;W;;V;;
89;S;;C;;
90;O;;W;;
91;W;;C;;
92;;;C;;
93;;;C;;
94;;;V;;
95;;;S;;

-=== LINE COMBINATIONS ===-
Symbol;Count;Hits;Hit %;Total Win;RTP Contribution %
7;3;129405;0.129405;517620000.0000;2.588100
7;4;10561;0.010561;422440000.0000;2.112200
7;5;1647;0.001647;329400000.0000;1.647000
C;2;12080890;12.080890;1208089000.0000;6.040445
C;3;3655689;3.655689;731137800.0000;3.655689
C;4;1058964;1.058964;2117928000.0000;10.589640
C;5;333185;0.333185;2665480000.0000;13.327400
L;3;150150;0.150150;120120000.0000;0.600600
L;4;13518;0.013518;27036000.0000;0.135180
L;5;640;0.000640;5120000.0000;0.025600
O;3;690748;0.690748;552598400.0000;2.762992
O;4;36718;0.036718;73436000.0000;0.367180
O;5;14304;0.014304;114432000.0000;0.572160
S;3;1342742;1.342742;1074193600.0000;5.370968
S;4;235612;0.235612;471224000.0000;2.356120
S;5;10609;0.010609;84872000.0000;0.424360
V;3;1160275;1.160275;2320550000.0000;11.602750
V;4;145743;0.145743;1165944000.0000;5.829720
V;5;13539;0.013539;270780000.0000;1.353900
W;3;1074772;1.074772;2149544000.0000;10.747720
W;4;195257;0.195257;1562056000.0000;7.810280
W;5;29102;0.029102;582040000.0000;2.910200

-=== SCATTERS ===-
Scatter;Count on Screen;Hits;Frequency %;Total Win;RTP Contribution %
SCATTER;x3;1391301;1.391301;556520400.0000;2.782602
SCATTER;x4;95291;0.095291;190582000.0000;0.952910
SCATTER;x5;2578;0.002578;25780000.0000;0.128900

-=== SYMBOLS SIMULATION HITS ===-
Symbol;Generated Cells;Frequency %;Total Win;RTP Contribution %
7;124047174;8.269812;1269460000.0000;6.347300
C;359413062;23.960871;6722634800.0000;33.613174
L;120417415;8.027828;152276000.0000;0.761380
O;218281268;14.552085;740466400.0000;3.702332
S;196934045;13.128936;1630289600.0000;8.151448
SCATTER;61167233;4.077816;772882400.0000;3.864412
V;195646805;13.043120;3757274000.0000;18.786370
W;224092998;14.939533;4293640000.0000;21.468200

-=== WIN DISTRIBUTION ===-
Bucket;Spins;Frequency %
0x;81823612;81.823612
0-1x;5711253;5.711253
1-2x;4058272;4.058272
2-5x;4035674;4.035674
5-10x;115182;0.115182
