-=== SIMULATION SUMMARY ===-
Game Name;test1
Spins;1000000
Total Bet;200000000.0000
Total Win;193600100.0000
RTP %;96.800050
Hit Rate %;18.133500
Hit Frequency;1 : 5.5147
Max Win;200200.0000
Max Win X;1001.0000

-=== REEL STRIP WEIGHTS & DISTRIBUTION ===-
Symbol;Reel 1 Count;Reel 1 % (Len: 91);Reel 2 Count;Reel 2 % (Len: 59);Reel 3 Count;Reel 3 % (Len: 95);Reel 4 Count;Reel 4 % (Len: 58);Reel 5 Count;Reel 5 % (Len: 46);Total Count;Avg %
7;6;6.5934 %;4;6.7797 %;6;6.3158 %;5;8.6207 %;6;13.0435 %;27;7.7364 %
C;23;25.2747 %;8;13.5593 %;28;29.4737 %;16;27.5862 %;11;23.9130 %;86;24.6418 %
L;12;13.1868 %;7;11.8644 %;2;2.1053 %;5;8.6207 %;2;4.3478 %;28;8.0229 %
O;9;9.8901 %;12;20.3390 %;7;7.3684 %;4;6.8966 %;13;28.2609 %;45;12.8940 %
S;9;9.8901 %;10;16.9492 %;18;18.9474 %;9;15.5172 %;2;4.3478 %;48;13.7536 %
SCATTER;3;3.2967 %;3;5.0847 %;4;4.2105 %;2;3.4483 %;2;4.3478 %;14;4.0115 %
V;8;8.7912 %;8;13.5593 %;21;22.1053 %;7;12.0690 %;4;8.6957 %;48;13.7536 %
W;21;23.0769 %;7;11.8644 %;9;9.4737 %;10;17.2414 %;6;13.0435 %;53;15.1862 %
TOTAL LENGTH;91;100.0000 %;59;100.0000 %;95;100.0000 %;58;100.0000 %;46;100.0000 %;349;100.0000 %

-=== REEL STRIP ORDER (SEQUENCE) ===-
Position;Reel 1;Reel 2;Reel 3;Reel 4;Reel 5
1;W;7;W;W;L
2;W;O;W;O;L
3;W;O;SCATTER;L;O
4;W;O;L;C;O
5;C;L;C;C;7
6;C;O;V;C;O
7;C;7;7;W;SCATTER
8;C;W;S;S;7
9;7;W;7;W;C
10;W;W;7;S;C
11;V;SCATTER;7;W;C
12;L;O;SCATTER;S;C
13;L;L;7;SCATTER;O
14;O;L;S;C;O
15;S;O;W;W;C
16;S;O;S;O;C
17;S;O;O;L;SCATTER
18;C;C;S;L;O
19;C;7;C;S;7
20;C;V;C;C;7
21;S;S;7;V;W
22;W;C;SCATTER;7;O
23;W;S;L;7;O
24;O;7;C;7;W
25;W;L;V;SCATTER;W
26;W;V;V;L;7
27;V;V;S;L;O
28;W;L;S;S;W
29;C;O;SCATTER;7;O
30;L;SCATTER;V;V;O
31;O;V;S;S;V
32;W;C;O;O;S
33;C;O;V;V;O
34;C;L;C;C;V
35;O;V;W;W;C
36;W;C;C;C;W
37;L;V;C;C;C
38;C;W;C;C;C
39;C;S;V;V;C
40;C;C;S;S;V
41;L;C;V;C;S
42;L;C;S;C;W
43;C;S;O;C;V
44;C;O;V;W;O
45;SCATTER;W;C;W;7
46;O;W;W;W;C
47;S;S;C;V;
48;V;S;C;S;
49;V;S;C;O;
50;W;C;V;V;
51;C;S;S;C;
52;C;SCATTER;V;W;
53;L;W;S;C;
54;L;S;O;C;
55;L;L;V;C;
56;7;S;C;V;
57;C;V;W;S;
58;C;O;C;7;
59;SCATTER;V;C;;
60;S;;C;;
61;C;;V;;
62;L;;S;;
63;SCATTER;;V;;
64;V;;S;;
65;C;;O;;
66;W;;V;;
67;W;;C;;
68;L;;W;;
69;L;;C;;
70;O;;C;;
71;S;;C;;
72;C;;V;;
73;7;;S;;
74;7;;V;;
75;7;;S;;
76;V;;O;;
77;S;;V;;
78;W;;C;;
79;V;;W;;
80;O;;C;;
81;7;;C;;
82;O;;C;;
83;W;;V;;
84;V;;S;;
85;C;;V;;
86;W;;S;;
87;W;;O;;
88;W;;V;;
89;S;;C;;
90;O;;W;;
91;W;;C;;
92;;;C;;
93;;;C;;
94;;;V;;
95;;;S;;

-=== LINE COMBINATIONS ===-
Symbol;Count;Hits;Hit %;Total Win;RTP Contribution %
7;3;1232;0.123200;4928000.0000;2.464000
7;4;117;0.011700;4680000.0000;2.340000
7;5;15;0.001500;3000000.0000;1.500000
C;2;120431;12.043100;12043100.0000;6.021550
C;3;36133;3.613300;7226600.0000;3.613300
C;4;10620;1.062000;21240000.0000;10.620000
C;5;3386;0.338600;27088000.0000;13.544000
L;3;1477;0.147700;1181600.0000;0.590800
L;4;130;0.013000;260000.0000;0.130000
L;5;4;0.000400;32000.0000;0.016000
O;3;6870;0.687000;5496000.0000;2.748000
O;4;367;0.036700;734000.0000;0.367000
O;5;114;0.011400;912000.0000;0.456000
S;3;13267;1.326700;10613600.0000;5.306800
S;4;2391;0.239100;4782000.0000;2.391000
S;5;93;0.009300;744000.0000;0.372000
V;3;11628;1.162800;23256000.0000;11.628000
V;4;1456;0.145600;11648000.0000;5.824000
V;5;140;0.014000;2800000.0000;1.400000
W;3;10825;1.082500;21650000.0000;10.825000
W;4;1986;0.198600;15888000.0000;7.944000
W;5;290;0.029000;5800000.0000;2.900000

-=== SCATTERS ===-
Scatter;Count on Screen;Hits;Frequency %;Total Win;RTP Contribution %
SCATTER;x3;13853;1.385300;5541200.0000;2.770600
SCATTER;x4;913;0.091300;1826000.0000;0.913000
SCATTER;x5;23;0.002300;230000.0000;0.115000

-=== SYMBOLS SIMULATION HITS ===-
Symbol;Generated Cells;Frequency %;Total Win;RTP Contribution %
7;1243377;8.289180;12608000.0000;6.304000
C;3591776;23.945173;67597700.0000;33.798850
L;1205525;8.036833;1473600.0000;0.736800
O;2181067;14.540447;7142000.0000;3.571000
S;1969749;13.131660;16139600.0000;8.069800
SCATTER;612675;4.084500;7597200.0000;3.798600
V;1956947;13.046313;37704000.0000;18.852000
W;2238884;14.925893;43338000.0000;21.669000

-=== WIN DISTRIBUTION ===-
Bucket;Spins;Frequency %
0x;818665;81.866500
0-1x;57138;5.713800
1-2x;40497;4.049700
2-5x;40004;4.000400
5-10x;1084;0.108400
10-20x;32219;3.221900
20-50x;9015;0.901500
50-100x;797;0.079700
